0,0.05,0.95
0,0.1,0.9
0,0.15,0.85
0,0.2,0.8
0,0.25,0.75
0.05,0.25,0.7
0.1,0.25,0.65
0.15,0.25,0.6
0.2,0.25,0.55
0.25,0.2,0.55
0,0.01,0.99
0.0122222222222222,0.205555555555555,0.782222222222222
0.0488888888888889,0.352222222222222,0.598888888888889
0.11,0.45,0.44
0.195555555555556,0.498888888888889,0.305555555555556
0.305555555555556,0.498888888888889,0.195555555555556
0.44,0.45,0.11
0.598888888888889,0.352222222222222,0.0488888888888889
0.782222222222222,0.205555555555555,0.0122222222222222
0.99,0.0099999999999999,0
0,0.05,0.95
0.0875,0.2125,0.7
0.138888888888889,0.375,0.486111111111111
0.154166666666667,0.5375,0.308333333333333
0.133333333333333,0.7,0.166666666666667
0.166666666666667,0.7,0.133333333333333
0.308333333333333,0.5375,0.154166666666667
0.486111111111111,0.375,0.138888888888889
0.7,0.2125,0.0875
0.95,0.05,0
